File,radius,Mean Intensity
1.oib,78.718,160.452
1.oib,77.718,36.3795
1.oib,76.718,36.9274
1.oib,75.718,38.4078
1.oib,74.718,38.8867
1.oib,73.718,42.6091
1.oib,72.718,39.9161
1.oib,71.718,43.1683
1.oib,70.718,46.6156
1.oib,69.718,49.488
1.oib,68.718,49.3638
1.oib,67.718,56.884
1.oib,66.718,68.8717
1.oib,65.718,82.542
1.oib,64.718,78.2639
1.oib,63.718,80.3153
1.oib,62.718,70.9905
1.oib,61.718,61.3703
1.oib,60.718,65.7926
1.oib,59.718,66.5771
1.oib,58.718,66.1791
1.oib,57.718,65.111
1.oib,56.718,62.9291
1.oib,55.718,64.507
1.oib,54.718,62.2918
1.oib,53.718,57.9466
1.oib,52.718,56.6378
1.oib,51.718,57.0273
1.oib,50.718,32.3405
1.oib,49.718,39.5665
1.oib,48.718,37.0526
1.oib,47.718,21.8304
1.oib,46.718,22.8348
1.oib,45.718,24.2317
1.oib,44.718,15.7436
1.oib,43.718,16.3571
1.oib,42.718,17.5087
1.oib,41.718,13.4731
1.oib,40.718,12.7282
1.oib,39.718,13.7681
1.oib,38.718,11.2725
1.oib,37.718,11.3763
1.oib,36.718,11.3802
1.oib,35.718,10.1744
1.oib,34.718,9.4097
1.oib,33.718,9.1105
1.oib,32.718,8.2765
1.oib,31.718,8.2387
1.oib,30.718,8.3361
1.oib,29.718,7.0341
1.oib,28.718,7.2111
1.oib,27.718,6.0284
1.oib,26.718,6.1037
1.oib,25.718,5
1.oib,24.718,5.0117
1.oib,23.718,4.1281
1.oib,22.718,4.0196
1.oib,21.718,3.0043
10.oib,81.8374,51.1517
10.oib,80.8374,48.4015
10.oib,79.8374,50.5376
10.oib,78.8374,46.9883
10.oib,77.8374,51.0618
10.oib,76.8374,47.2289
10.oib,75.8374,53.2353
10.oib,74.8374,49.9736
10.oib,73.8374,55.4121
10.oib,72.8374,51.1428
10.oib,71.8374,53.735
10.oib,70.8374,55.9153
10.oib,69.8374,55.1938
10.oib,68.8374,59.2863
10.oib,67.8374,56.8178
10.oib,66.8374,59.7616
10.oib,65.8374,61.8941
10.oib,64.8374,63.9745
10.oib,63.8374,64.7529
10.oib,62.8374,61.505
10.oib,61.8374,65.5772
10.oib,60.8374,67.5896
10.oib,59.8374,64.891
10.oib,58.8374,61.2058
10.oib,57.8374,62.7864
10.oib,56.8374,65.0052
10.oib,55.8374,67.0146
10.oib,54.8374,68.3635
10.oib,53.8374,57.8471
10.oib,52.8374,64.8386
10.oib,51.8374,77.2494
10.oib,50.8374,51.783
10.oib,49.8374,53.7447
10.oib,48.8374,52.9364
10.oib,47.8374,30.4145
10.oib,46.8374,30.5156
10.oib,45.8374,32.3046
10.oib,44.8374,23.1166
10.oib,43.8374,23.8698
10.oib,42.8374,23.103
10.oib,41.8374,19.0772
10.oib,40.8374,18.8379
10.oib,39.8374,18.489
10.oib,38.8374,15.368
10.oib,37.8374,16.7545
10.oib,36.8374,14.4956
10.oib,35.8374,14.7186
10.oib,34.8374,13.5885
10.oib,33.8374,12.713
10.oib,32.8374,11.5134
10.oib,31.8374,12.6035
10.oib,30.8374,10.714
10.oib,29.8374,10.63
10.oib,28.8374,9.2716
10.oib,27.8374,8.0799
10.oib,26.8374,8.9836
10.oib,25.8374,7.1202
10.oib,24.8374,7.8085
10.oib,23.8374,5.7144
10.oib,22.8374,5.4574
10.oib,21.8374,4.222
10.oib,20.8374,3.4156
11.oib,79.725,88.2286
11.oib,78.725,90.6882
11.oib,77.725,92.6412
11.oib,76.725,92.1349
11.oib,75.725,89.0208
11.oib,74.725,84.2143
11.oib,73.725,92.9159
11.oib,72.725,89.062
11.oib,71.725,90.2991
11.oib,70.725,96.2586
11.oib,69.725,104.001
11.oib,68.725,106.1385
11.oib,67.725,111.3113
11.oib,66.725,110.6046
11.oib,65.725,179.8803
11.oib,64.725,115.0271
11.oib,63.725,131.5271
11.oib,62.725,132.7899
11.oib,61.725,124.377
11.oib,60.725,72.9536
11.oib,59.725,72.8125
11.oib,58.725,62.9166
11.oib,57.725,38.4437
11.oib,56.725,39.8296
11.oib,55.725,38.6354
11.oib,54.725,25.4404
11.oib,53.725,25.5227
11.oib,52.725,25.0903
11.oib,51.725,26.2564
11.oib,50.725,20.2528
11.oib,49.725,18.8869
11.oib,48.725,20.0449
11.oib,47.725,16.4885
11.oib,46.725,16.2308
11.oib,45.725,15.8599
11.oib,44.725,13.9075
11.oib,43.725,14.4333
11.oib,42.725,13.5396
11.oib,41.725,11.8622
11.oib,40.725,12.963
11.oib,39.725,11.8924
11.oib,38.725,10.7286
11.oib,37.725,11.3764
11.oib,36.725,10.8302
11.oib,35.725,9.6893
11.oib,34.725,9.3698
11.oib,33.725,9.6158
11.oib,32.725,8.88
11.oib,31.725,8.4459
11.oib,30.725,7.433
11.oib,29.725,7.3117
11.oib,28.725,7.6189
11.oib,27.725,6.426
11.oib,26.725,6.4143
11.oib,25.725,5.3435
11.oib,24.725,5.2779
11.oib,23.725,4.2909
11.oib,22.725,3.3448
11.oib,21.725,2.5317
2.oib,84.6146,29.6588
2.oib,83.6146,28.9571
2.oib,82.6146,30.1576
2.oib,81.6146,26.5053
2.oib,80.6146,27.4727
2.oib,79.6146,26.5297
2.oib,78.6146,25.7117
2.oib,77.6146,27.6424
2.oib,76.6146,27.7582
2.oib,75.6146,26.9332
2.oib,74.6146,27.6471
2.oib,73.6146,26.8179
2.oib,72.6146,29.2973
2.oib,71.6146,30.7948
2.oib,70.6146,29.5426
2.oib,69.6146,32.8193
2.oib,68.6146,31.2193
2.oib,67.6146,30.7248
2.oib,66.6146,32.7604
2.oib,65.6146,30.8058
2.oib,64.6146,30.2668
2.oib,63.6146,30.4244
2.oib,62.6146,29.4931
2.oib,61.6146,31.5007
2.oib,60.6146,31.7583
2.oib,59.6146,36.4363
2.oib,58.6146,35.021
2.oib,57.6146,38.1641
2.oib,56.6146,35.8029
2.oib,55.6146,37.1927
2.oib,54.6146,40.5492
2.oib,53.6146,35.6672
2.oib,52.6146,33.4736
2.oib,51.6146,29.7305
2.oib,50.6146,28.3913
2.oib,49.6146,28.8361
2.oib,48.6146,25.186
2.oib,47.6146,20.4903
2.oib,46.6146,21.5263
2.oib,45.6146,20.0982
2.oib,44.6146,20.8712
2.oib,43.6146,16.9667
2.oib,42.6146,16.4791
2.oib,41.6146,16.1367
2.oib,40.6146,15.6565
2.oib,39.6146,15.3886
2.oib,38.6146,15.0646
2.oib,37.6146,13.6165
2.oib,36.6146,12.3197
2.oib,35.6146,13.5392
2.oib,34.6146,11.1769
2.oib,33.6146,11.3934
2.oib,32.6146,11.1406
2.oib,31.6146,10.1007
2.oib,30.6146,10.2496
2.oib,29.6146,10.3393
2.oib,28.6146,9.8488
2.oib,27.6146,9.4685
2.oib,26.6146,8.8429
2.oib,25.6146,8.8389
2.oib,24.6146,7.681
2.oib,23.6146,7.0348
2.oib,22.6146,6.8515
2.oib,21.6146,6.7153
2.oib,20.6146,4.3417
3.oib,83.4961,42.4026
3.oib,82.4961,41.6438
3.oib,81.4961,41.9336
3.oib,80.4961,40.9085
3.oib,79.4961,41.2033
3.oib,78.4961,42.1332
3.oib,77.4961,44.9531
3.oib,76.4961,44.1968
3.oib,75.4961,44.377
3.oib,74.4961,44.5103
3.oib,73.4961,43.6954
3.oib,72.4961,43.262
3.oib,71.4961,47.5146
3.oib,70.4961,51.4314
3.oib,69.4961,58.8138
3.oib,68.4961,69.9272
3.oib,67.4961,72.7229
3.oib,66.4961,71.3065
3.oib,65.4961,71.908
3.oib,64.4961,70.9647
3.oib,63.4961,72.3946
3.oib,62.4961,74.5823
3.oib,61.4961,72.1733
3.oib,60.4961,68.103
3.oib,59.4961,69.9118
3.oib,58.4961,73.8479
3.oib,57.4961,69.6691
3.oib,56.4961,73.3004
3.oib,55.4961,68.1973
3.oib,54.4961,70.7654
3.oib,53.4961,67.1389
3.oib,52.4961,65.4329
3.oib,51.4961,64.2444
3.oib,50.4961,45.452
3.oib,49.4961,50.8324
3.oib,48.4961,63.2002
3.oib,47.4961,35.4144
3.oib,46.4961,36.2622
3.oib,45.4961,37.2155
3.oib,44.4961,24.6861
3.oib,43.4961,23.2415
3.oib,42.4961,24.716
3.oib,41.4961,24.4732
3.oib,40.4961,17.181
3.oib,39.4961,17.5235
3.oib,38.4961,17.0102
3.oib,37.4961,13.5197
3.oib,36.4961,12.4165
3.oib,35.4961,13.1463
3.oib,34.4961,10.661
3.oib,33.4961,10.3532
3.oib,32.4961,9.8425
3.oib,31.4961,9.1363
3.oib,30.4961,9.5257
3.oib,29.4961,8.3525
3.oib,28.4961,8.0418
3.oib,27.4961,7.9184
3.oib,26.4961,6.8756
3.oib,25.4961,6.5207
3.oib,24.4961,5.3423
3.oib,23.4961,5.592
3.oib,22.4961,4.9796
3.oib,21.4961,4.2303
3.oib,20.4961,3.2372
4.oib,85.4767,34.7538
4.oib,84.4767,35.9989
4.oib,83.4767,34.3503
4.oib,82.4767,35.7535
4.oib,81.4767,35.5255
4.oib,80.4767,33.0788
4.oib,79.4767,36.109
4.oib,78.4767,35.1304
4.oib,77.4767,31.6712
4.oib,76.4767,36.0485
4.oib,75.4767,34.4344
4.oib,74.4767,35.227
4.oib,73.4767,37.5548
4.oib,72.4767,36.9599
4.oib,71.4767,34.9523
4.oib,70.4767,36.1885
4.oib,69.4767,37.6611
4.oib,68.4767,41.5892
4.oib,67.4767,38.3314
4.oib,66.4767,43.8518
4.oib,65.4767,48.4278
4.oib,64.4767,42.3779
4.oib,63.4767,47.686
4.oib,62.4767,50.0789
4.oib,61.4767,28.0732
4.oib,60.4767,32.2593
4.oib,59.4767,33.1762
4.oib,58.4767,37.2868
4.oib,57.4767,22.2739
4.oib,56.4767,24.923
4.oib,55.4767,23.0212
4.oib,54.4767,19.6836
4.oib,53.4767,20.1381
4.oib,52.4767,19.7872
4.oib,51.4767,16.9302
4.oib,50.4767,17.2795
4.oib,49.4767,17.7179
4.oib,48.4767,15.1891
4.oib,47.4767,14.6337
4.oib,46.4767,14.8978
4.oib,45.4767,13.4426
4.oib,44.4767,14.3149
4.oib,43.4767,13.6654
4.oib,42.4767,12.7305
4.oib,41.4767,12.8648
4.oib,40.4767,12.6547
4.oib,39.4767,11.5014
4.oib,38.4767,11.8377
4.oib,37.4767,11.6652
4.oib,36.4767,10.2893
4.oib,35.4767,9.8438
4.oib,34.4767,10.0038
4.oib,33.4767,9.4986
4.oib,32.4767,9.3099
4.oib,31.4767,9.1133
4.oib,30.4767,8.0468
4.oib,29.4767,7.9773
4.oib,28.4767,7.4183
4.oib,27.4767,7.1139
4.oib,26.4767,6.3776
4.oib,25.4767,5.9892
4.oib,24.4767,5.0125
4.oib,23.4767,4.3592
4.oib,22.4767,3.7138
5.oib,81.5249,33.3461
5.oib,80.5249,33.1805
5.oib,79.5249,33.3097
5.oib,78.5249,36.9833
5.oib,77.5249,38.0737
5.oib,76.5249,40.4152
5.oib,75.5249,54.2826
5.oib,74.5249,71.9635
5.oib,73.5249,70.6021
5.oib,72.5249,76.4231
5.oib,71.5249,71.7277
5.oib,70.5249,71.9939
5.oib,69.5249,78.44
5.oib,68.5249,83.3305
5.oib,67.5249,85.8038
5.oib,66.5249,85.9207
5.oib,65.5249,91.2386
5.oib,64.5249,83.8084
5.oib,63.5249,87.1754
5.oib,62.5249,81.8204
5.oib,61.5249,88.421
5.oib,60.5249,98.2918
5.oib,59.5249,107.0196
5.oib,58.5249,93.6103
5.oib,57.5249,85.0601
5.oib,56.5249,98.3751
5.oib,55.5249,103.7466
5.oib,54.5249,104.2671
5.oib,53.5249,82.897
5.oib,52.5249,90.5934
5.oib,51.5249,150.0181
5.oib,50.5249,53.1599
5.oib,49.5249,48.9924
5.oib,48.5249,58.6968
5.oib,47.5249,30.4762
5.oib,46.5249,28.9483
5.oib,45.5249,26.2184
5.oib,44.5249,20.3153
5.oib,43.5249,19.4577
5.oib,42.5249,20.3804
5.oib,41.5249,18.7988
5.oib,40.5249,13.6636
5.oib,39.5249,12.5351
5.oib,38.5249,15.349
5.oib,37.5249,11.5377
5.oib,36.5249,11.1186
5.oib,35.5249,11.8991
5.oib,34.5249,9.4985
5.oib,33.5249,9.5521
5.oib,32.5249,8.3616
5.oib,31.5249,8.2258
5.oib,30.5249,8.2311
5.oib,29.5249,7.0583
5.oib,28.5249,7.2937
5.oib,27.5249,7.0231
5.oib,26.5249,5.9163
5.oib,25.5249,6.0787
5.oib,24.5249,5.1579
5.oib,23.5249,5.3572
5.oib,22.5249,3.7449
5.oib,21.5249,4.2587
5.oib,20.5249,3.1927
6.oib,80.9072,40.335
6.oib,79.9072,39.9871
6.oib,78.9072,41.1195
6.oib,77.9072,37.7537
6.oib,76.9072,41.0035
6.oib,75.9072,38.3549
6.oib,74.9072,36.6663
6.oib,73.9072,37.4502
6.oib,72.9072,35.4993
6.oib,71.9072,34.2572
6.oib,70.9072,36.2339
6.oib,69.9072,36.3224
6.oib,68.9072,31.0793
6.oib,67.9072,32.8229
6.oib,66.9072,34.968
6.oib,65.9072,32.7569
6.oib,64.9072,34.75
6.oib,63.9072,36.0413
6.oib,62.9072,33.262
6.oib,61.9072,35.8364
6.oib,60.9072,32.7451
6.oib,59.9072,33.5981
6.oib,58.9072,33.7356
6.oib,57.9072,35.3734
6.oib,56.9072,30.3874
6.oib,55.9072,32.5298
6.oib,54.9072,32.8797
6.oib,53.9072,31.6387
6.oib,52.9072,32.2994
6.oib,51.9072,31.7324
6.oib,50.9072,26.9566
6.oib,49.9072,27.9285
6.oib,48.9072,29.8406
6.oib,47.9072,17.2142
6.oib,46.9072,18.2273
6.oib,45.9072,18.1758
6.oib,44.9072,15.1424
6.oib,43.9072,15.2404
6.oib,42.9072,16.079
6.oib,41.9072,13.3958
6.oib,40.9072,13.3593
6.oib,39.9072,13.6534
6.oib,38.9072,11.5287
6.oib,37.9072,11.6228
6.oib,36.9072,12.1303
6.oib,35.9072,11.3001
6.oib,34.9072,10.4448
6.oib,33.9072,11.0658
6.oib,32.9072,9.1635
6.oib,31.9072,9.8514
6.oib,30.9072,9.0249
6.oib,29.9072,7.4218
6.oib,28.9072,8.3553
6.oib,27.9072,7.0703
6.oib,26.9072,7.2294
6.oib,25.9072,6.5688
6.oib,24.9072,6.3442
6.oib,23.9072,4.9951
6.oib,22.9072,4.8367
6.oib,21.9072,3.5709
6.oib,20.9072,2.5577
7.oib,83.9853,29.2587
7.oib,82.9853,30.6007
7.oib,81.9853,32.3973
7.oib,80.9853,30.7364
7.oib,79.9853,30.4202
7.oib,78.9853,33.0637
7.oib,77.9853,32.1976
7.oib,76.9853,33.3107
7.oib,75.9853,34.2147
7.oib,74.9853,34.0944
7.oib,73.9853,33.6699
7.oib,72.9853,33.4965
7.oib,71.9853,32.8729
7.oib,70.9853,32.5618
7.oib,69.9853,30.4074
7.oib,68.9853,31.7633
7.oib,67.9853,28.6374
7.oib,66.9853,28.8482
7.oib,65.9853,27.9404
7.oib,64.9853,24.5356
7.oib,63.9853,25.1207
7.oib,62.9853,24.8261
7.oib,61.9853,23.2026
7.oib,60.9853,22.508
7.oib,59.9853,22.831
7.oib,58.9853,23.0631
7.oib,57.9853,20.388
7.oib,56.9853,21.4782
7.oib,55.9853,20.5596
7.oib,54.9853,18.1001
7.oib,53.9853,17.1843
7.oib,52.9853,18.4699
7.oib,51.9853,17.0466
7.oib,50.9853,17.4842
7.oib,49.9853,17.0535
7.oib,48.9853,14.4457
7.oib,47.9853,15.0112
7.oib,46.9853,15.0754
7.oib,45.9853,13.0224
7.oib,44.9853,13.709
7.oib,43.9853,13.6665
7.oib,42.9853,12.6151
7.oib,41.9853,12.9009
7.oib,40.9853,11.8946
7.oib,39.9853,11.2083
7.oib,38.9853,10.9381
7.oib,37.9853,11.1587
7.oib,36.9853,9.9197
7.oib,35.9853,11.0061
7.oib,34.9853,10.2084
7.oib,33.9853,9.2141
7.oib,32.9853,9.034
7.oib,31.9853,7.5108
7.oib,30.9853,7.4614
7.oib,29.9853,7.9058
7.oib,28.9853,6.4702
7.oib,27.9853,7.6316
7.oib,26.9853,5.9525
7.oib,25.9853,5.6843
7.oib,24.9853,4.3948
7.oib,23.9853,3.1419
7.oib,22.9853,2.1332
8.oib,88.171,39.8137
8.oib,87.171,37.8814
8.oib,86.171,38.8298
8.oib,85.171,39.5038
8.oib,84.171,39.132
8.oib,83.171,40.5438
8.oib,82.171,39.3444
8.oib,81.171,40.2089
8.oib,80.171,42.4278
8.oib,79.171,42.095
8.oib,78.171,42.3417
8.oib,77.171,42.8717
8.oib,76.171,45.1948
8.oib,75.171,42.6093
8.oib,74.171,45.5091
8.oib,73.171,44.341
8.oib,72.171,45.2587
8.oib,71.171,47.3833
8.oib,70.171,43.4066
8.oib,69.171,46.1574
8.oib,68.171,44.3204
8.oib,67.171,42.3961
8.oib,66.171,47.5875
8.oib,65.171,46.0642
8.oib,64.171,44.8575
8.oib,63.171,46.5013
8.oib,62.171,49.5111
8.oib,61.171,48.9335
8.oib,60.171,56.0667
8.oib,59.171,69.3259
8.oib,58.171,75.5233
8.oib,57.171,70.7089
8.oib,56.171,86.5757
8.oib,55.171,138.1604
8.oib,54.171,65.6158
8.oib,53.171,70.6603
8.oib,52.171,79.1182
8.oib,51.171,36.2051
8.oib,50.171,37.1547
8.oib,49.171,42.4474
8.oib,48.171,24.2177
8.oib,47.171,23.1566
8.oib,46.171,25.0736
8.oib,45.171,26.9491
8.oib,44.171,19.6209
8.oib,43.171,18.6718
8.oib,42.171,20.7409
8.oib,41.171,16.5143
8.oib,40.171,16.087
8.oib,39.171,15.7365
8.oib,38.171,14.3979
8.oib,37.171,13.6628
8.oib,36.171,14.4897
8.oib,35.171,11.3173
8.oib,34.171,11.7457
8.oib,33.171,9.7783
8.oib,32.171,10.5902
8.oib,31.171,10.3784
8.oib,30.171,9.013
8.oib,29.171,9.0499
8.oib,28.171,8.7015
8.oib,27.171,8.064
8.oib,26.171,8.0678
8.oib,25.171,6.5019
8.oib,24.171,6.3774
8.oib,23.171,4.9446
8.oib,22.171,4.1271
8.oib,21.171,2.4864
9.oib,72.7867,66.1601
9.oib,71.7867,64.7455
9.oib,70.7867,67.5213
9.oib,69.7867,66.6346
9.oib,68.7867,65.0346
9.oib,67.7867,64.8208
9.oib,66.7867,58.8316
9.oib,65.7867,59.8473
9.oib,64.7867,64.7591
9.oib,63.7867,64.6213
9.oib,62.7867,62.9716
9.oib,61.7867,60.5608
9.oib,60.7867,58.6413
9.oib,59.7867,58.0549
9.oib,58.7867,60.8539
9.oib,57.7867,57.349
9.oib,56.7867,52.684
9.oib,55.7867,52.313
9.oib,54.7867,51.0573
9.oib,53.7867,51.9806
9.oib,52.7867,54.82
9.oib,51.7867,63.0146
9.oib,50.7867,69.5753
9.oib,49.7867,72.1563
9.oib,48.7867,68.7694
9.oib,47.7867,77.0423
9.oib,46.7867,41.0131
9.oib,45.7867,42.0465
9.oib,44.7867,43.9977
9.oib,43.7867,23.2277
9.oib,42.7867,22.6703
9.oib,41.7867,24.2816
9.oib,40.7867,15.7033
9.oib,39.7867,17.1804
9.oib,38.7867,15.8999
9.oib,37.7867,13.3368
9.oib,36.7867,12.7312
9.oib,35.7867,13.0815
9.oib,34.7867,10.7319
9.oib,33.7867,10.584
9.oib,32.7867,10.5678
9.oib,31.7867,8.9698
9.oib,30.7867,9.0047
9.oib,29.7867,7.8576
9.oib,28.7867,7.4042
9.oib,27.7867,7.732
9.oib,26.7867,6.3733
9.oib,25.7867,6.4055
9.oib,24.7867,5.3776
9.oib,23.7867,5.3299
9.oib,22.7867,4.1432
9.oib,21.7867,4.0939
9.oib,20.7867,3.1044
9.oib,19.7867,2
